chunk_index,content_id,candidate,kind,candidate_path
0,sha256:8cb17250178b2b622dfcc91f71a5c0ccffe56f4281e3af85ff0df9acbfbad723,server_A,server,results/43_integrated_pipeline/replicas/server_A/chunk_0000.bin
0,sha256:8cb17250178b2b622dfcc91f71a5c0ccffe56f4281e3af85ff0df9acbfbad723,mirror_B,mirror,results/43_integrated_pipeline/replicas/mirror_B/chunk_0000.bin
0,sha256:8cb17250178b2b622dfcc91f71a5c0ccffe56f4281e3af85ff0df9acbfbad723,peer_C,peer,results/43_integrated_pipeline/replicas/peer_C/chunk_0000.bin
1,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,server_A,server,results/43_integrated_pipeline/replicas/server_A/chunk_0001.bin
1,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,mirror_B,mirror,results/43_integrated_pipeline/replicas/mirror_B/chunk_0001.bin
1,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,peer_C,peer,results/43_integrated_pipeline/replicas/peer_C/chunk_0001.bin
2,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,server_A,server,results/43_integrated_pipeline/replicas/server_A/chunk_0002.bin
2,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,mirror_B,mirror,results/43_integrated_pipeline/replicas/mirror_B/chunk_0002.bin
2,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,peer_C,peer,results/43_integrated_pipeline/replicas/peer_C/chunk_0002.bin
3,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,server_A,server,results/43_integrated_pipeline/replicas/server_A/chunk_0003.bin
3,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,mirror_B,mirror,results/43_integrated_pipeline/replicas/mirror_B/chunk_0003.bin
3,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,peer_C,peer,results/43_integrated_pipeline/replicas/peer_C/chunk_0003.bin
4,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,server_A,server,results/43_integrated_pipeline/replicas/server_A/chunk_0004.bin
4,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,mirror_B,mirror,results/43_integrated_pipeline/replicas/mirror_B/chunk_0004.bin
4,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,peer_C,peer,results/43_integrated_pipeline/replicas/peer_C/chunk_0004.bin
5,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,server_A,server,results/43_integrated_pipeline/replicas/server_A/chunk_0005.bin
5,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,mirror_B,mirror,results/43_integrated_pipeline/replicas/mirror_B/chunk_0005.bin
5,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,peer_C,peer,results/43_integrated_pipeline/replicas/peer_C/chunk_0005.bin
6,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,server_A,server,results/43_integrated_pipeline/replicas/server_A/chunk_0006.bin
6,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,mirror_B,mirror,results/43_integrated_pipeline/replicas/mirror_B/chunk_0006.bin
6,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,peer_C,peer,results/43_integrated_pipeline/replicas/peer_C/chunk_0006.bin
7,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,server_A,server,results/43_integrated_pipeline/replicas/server_A/chunk_0007.bin
7,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,mirror_B,mirror,results/43_integrated_pipeline/replicas/mirror_B/chunk_0007.bin
7,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,peer_C,peer,results/43_integrated_pipeline/replicas/peer_C/chunk_0007.bin
8,sha256:dc1074db93141f8e17c2bc2b37faedbdcecc6430d99e6ce30a6b58082a471ee2,server_A,server,results/43_integrated_pipeline/replicas/server_A/chunk_0008.bin
8,sha256:dc1074db93141f8e17c2bc2b37faedbdcecc6430d99e6ce30a6b58082a471ee2,mirror_B,mirror,results/43_integrated_pipeline/replicas/mirror_B/chunk_0008.bin
8,sha256:dc1074db93141f8e17c2bc2b37faedbdcecc6430d99e6ce30a6b58082a471ee2,peer_C,peer,results/43_integrated_pipeline/replicas/peer_C/chunk_0008.bin
